isPractice,frame,x,y,Participant,StudyID,SessionID
1,261,263.6523438,-19.171875,anonymous,na,na
1,262,239.4921875,-31.26171875,anonymous,na,na
1,263,189.203125,-44.0234375,anonymous,na,na
1,264,109.265625,-55.12890625,anonymous,na,na
1,265,2.13671875,-62.32421875,anonymous,na,na
1,266,-108.890625,-67.01171875,anonymous,na,na
1,267,-211.828125,-69.25,anonymous,na,na
1,268,-298.234375,-66.85546875,anonymous,na,na
1,269,-357.0234375,-61.6796875,anonymous,na,na
1,270,-394.9726563,-53.828125,anonymous,na,na
1,271,-403.9570313,-51.171875,anonymous,na,na
1,272,-406.4492188,-48.72265625,anonymous,na,na
1,273,-406.6992188,-45.94140625,anonymous,na,na
1,274,-404.5234375,-40.2109375,anonymous,na,na
1,275,-397.4414063,-31.5390625,anonymous,na,na
1,276,-384.4257813,-19.20703125,anonymous,na,na
1,277,-351.6914063,1.0859375,anonymous,na,na
1,278,-300.8320313,26.00390625,anonymous,na,na
1,279,-227.96875,51.30859375,anonymous,na,na
1,280,-140.1171875,75.1875,anonymous,na,na
1,281,-65.984375,90.22265625,anonymous,na,na
1,282,-10.75,97.98828125,anonymous,na,na
1,283,22.49609375,101.3359375,anonymous,na,na
1,284,41.17578125,101.6992188,anonymous,na,na
1,285,63.22265625,100.9765625,anonymous,na,na
1,286,76.140625,98.3359375,anonymous,na,na
1,287,96.4765625,92.23828125,anonymous,na,na
1,288,118.3320313,82.51953125,anonymous,na,na
1,289,137.4257813,69.59375,anonymous,na,na
1,290,153.2773438,52.29296875,anonymous,na,na
1,291,161.0273438,39.5625,anonymous,na,na
1,292,166.9960938,24.1953125,anonymous,na,na
1,293,166.9335938,20.46875,anonymous,na,na
1,294,165.8828125,17.17578125,anonymous,na,na
1,295,163.6484375,15.609375,anonymous,na,na
1,296,159.1484375,14.140625,anonymous,na,na
1,297,153.6601563,13.02734375,anonymous,na,na
1,298,145.3632813,12.01953125,anonymous,na,na
1,299,136.625,11.80078125,anonymous,na,na
1,300,123.75,11.81640625,anonymous,na,na
1,301,113.4023438,12.31640625,anonymous,na,na
1,302,101.6328125,14.546875,anonymous,na,na
1,303,95.3671875,17.046875,anonymous,na,na
1,304,85.3359375,22.05859375,anonymous,na,na
1,305,78.765625,25.078125,anonymous,na,na
1,306,78.765625,25.078125,anonymous,na,na
1,307,78.765625,25.078125,anonymous,na,na
1,308,78.765625,25.078125,anonymous,na,na
1,309,78.765625,25.078125,anonymous,na,na
1,310,78.765625,25.078125,anonymous,na,na
1,311,78.765625,25.078125,anonymous,na,na
1,312,78.765625,25.078125,anonymous,na,na
1,313,78.765625,25.078125,anonymous,na,na
1,314,78.765625,25.078125,anonymous,na,na
1,315,78.765625,25.078125,anonymous,na,na
1,316,78.765625,25.078125,anonymous,na,na
1,317,78.765625,25.078125,anonymous,na,na
1,318,78.765625,25.078125,anonymous,na,na
1,319,78.765625,25.078125,anonymous,na,na
1,320,78.765625,25.078125,anonymous,na,na
1,321,78.765625,25.078125,anonymous,na,na
1,322,79.03125,27.33984375,anonymous,na,na
1,323,79.2109375,28.8984375,anonymous,na,na
1,324,82.76171875,29.078125,anonymous,na,na
1,325,83.90234375,29.13671875,anonymous,na,na
1,326,83.90234375,29.13671875,anonymous,na,na
1,327,81.21875,29.1171875,anonymous,na,na
1,328,79.13671875,28.84375,anonymous,na,na
1,329,76.25,28.66796875,anonymous,na,na
1,330,73.4609375,28.5625,anonymous,na,na
1,331,70.609375,28.47265625,anonymous,na,na
1,332,67.87109375,28.39453125,anonymous,na,na
1,333,65.84375,28.3046875,anonymous,na,na
1,334,61.2578125,28.0859375,anonymous,na,na
1,335,47.34375,26.35546875,anonymous,na,na
1,336,23.1484375,23.08984375,anonymous,na,na
1,337,-18.7734375,17.62109375,anonymous,na,na
1,338,-48.03125,15.30078125,anonymous,na,na
1,339,-63.5703125,14.42578125,anonymous,na,na
1,340,-75.640625,13.83203125,anonymous,na,na
1,341,-78.69140625,13.75390625,anonymous,na,na
1,342,-79.6171875,13.75390625,anonymous,na,na
1,343,-79.90625,13.75390625,anonymous,na,na
1,344,-80.19140625,13.75390625,anonymous,na,na
1,345,-81.06640625,13.62890625,anonymous,na,na
1,346,-83.52734375,13.453125,anonymous,na,na
1,347,-89.5390625,13.19921875,anonymous,na,na
1,348,-95.484375,13.02734375,anonymous,na,na
1,349,-104.7734375,13.02734375,anonymous,na,na
1,350,-119.9453125,13.02734375,anonymous,na,na
1,351,-134.1054688,13.02734375,anonymous,na,na
1,352,-145.2734375,13.02734375,anonymous,na,na
1,353,-152.6523438,13.02734375,anonymous,na,na
1,354,-156.2070313,13.02734375,anonymous,na,na
1,355,-163.7695313,12.93359375,anonymous,na,na
1,356,-170.8359375,12.39453125,anonymous,na,na
1,357,-176.5625,11.79296875,anonymous,na,na
1,358,-183.4609375,11.15234375,anonymous,na,na
1,359,-186.6757813,11.03125,anonymous,na,na
1,360,-152.3203125,-3.375,anonymous,na,na
1,361,-153.3085938,-0.63671875,anonymous,na,na
